,idx,collected,goal_amount,num_backers,category,duration,pledge_types,donate,creator,project_we_love,success,start_month,start_day,population,country
0,0,8.600798775271034,8.496990484098719,66,games,30,7.0,0.0,Janos Stone,1.0,1,6,4,11.973093381793852, MA
1,2,11.626750071930616,10.886127664951816,"1,462",games,30,9.0,0.0,Cherrymochi Game Studio,1.0,1,7,1,15.936165897399452, Japan
2,3,12.960634723791586,10.819778284410283,918,design,30,4.0,0.0,Moment,1.0,1,6,1,13.436372336049693, WA
3,4,9.030854790001436,11.021150551895039,93,food,22,12.0,0.0,Akwasi Brenya-Mensa,1.0,0,6,6,15.837971611150978, UK
4,5,11.866416345153828,9.903487552536127,"1,047",comics,34,8.0,0.0,Adam Lawson,1.0,1,6,1,11.5647491186924, CA
5,6,10.374272126764936,10.308952660644293,203,film_Video,30,13.0,0.0,Julia Greenberg,1.0,1,6,1,15.9166075437284, NY
6,7,9.542445945729886,8.804775258867686,258,comics,31,16.0,0.0,DJ Wooldridge,1.0,1,6,1,15.194750847520005, CA
7,8,11.036924527770873,10.060491301345794,375,film_Video,51,4.0,0.0,「Mononoke」 15th anniversary project,1.0,1,6,4,15.936165897399452, Japan
8,9,11.346304013980344,9.210340371976184,"1,154",games,30,27.0,0.0,Amanda Coronado,1.0,1,6,4,13.340452576975746, MD
9,10,10.746181086404619,10.571316925111784,375,film_Video,30,17.0,0.0,WIT STUDIO,1.0,1,7,4,15.936165897399452, Japan
10,11,10.61437641457223,10.239959789157341,277,crafts,25,12.0,0.0,Sandy Sugawara and Catiana Garcia Kilroy,1.0,1,6,0,13.30755248550697, DC
11,12,11.001782290790441,10.670117509855876,629,film_Video,30,15.0,1.0,Sarah Drummond,1.0,1,6,1,15.837971611150978, UK
12,13,13.048583351470366,11.289781913656018,"3,629",film_Video,19,12.0,0.0,Olan Rogers,1.0,1,6,2,15.194750847520005, CA
13,14,14.456546214741437,9.903487552536127,"7,960",music,30,5.0,0.0,Nura,1.0,1,6,1,15.261576235762831, AU
14,15,7.946744943666274,7.773173680482536,102,journalism,45,6.0,0.0,Elisa Manici,1.0,1,5,1,12.810751934352226, Italy
15,17,9.011157458106817,8.517193191416238,77,comics,30,5.0,0.0,Aero Zero,1.0,1,6,2,15.194750847520005, CA
16,18,10.645649348264971,9.611557804804775,"1,077",games,30,3.0,0.0,Jason Anarchy,1.0,1,6,1,14.77102200299171, Canada
17,19,8.64259160081057,8.517193191416238,131,comics,30,8.0,0.0,Chrome Rat Comics,1.0,1,6,2,13.433583737933631, CO
18,20,11.458033703860389,10.896739325546411,385,crafts,44,9.0,0.0,Core Components,1.0,1,5,1,12.514365841886065, Slovenia
19,21,7.346655163176539,11.30622104760779,13,theater,60,7.0,0.0,Jackson Lennon,,0,5,1,13.839253451421483, Ireland
20,22,15.03658801567864,8.76349842795174,"2,444",technology,35,7.0,0.0,Mammotion,1.0,1,5,3,15.7632387676311, Hong Kong
21,23,14.99149645697112,10.819778284410283,"2,645",technology,60,6.0,0.0,YesWelder,1.0,1,5,3,11.795160227733778, SC
22,24,4.8283137373023015,9.350102314351341,6,design,45,9.0,0.0,Anthony M.,1.0,0,5,4,14.200667511018631, TX
23,25,9.073489189226986,8.937218450855731,159,comics,30,10.0,0.0,Justin Hubbell,1.0,1,6,2,12.253919507787362, NY
24,27,15.766032891241435,9.214510365455535,"5,575",design,30,10.0,0.0,Bambu Lab,1.0,1,5,1,15.7632387676311, Hong Kong
25,29,14.592341961670972,11.06663836234181,"7,083",technology,30,6.0,0.0,Turing Machines Inc,1.0,1,5,0,11.660767717014435, DE
26,30,13.889007048915753,11.719939634354555,"6,634",games,9,3.0,0.0,Steamforged Games Ltd,1.0,1,5,1,12.887943992145741, UK
27,31,11.08946673832243,9.417354541360508,"1,677",comics,30,16.0,0.0,Kugali,1.0,1,5,0,15.837971611150978, UK
28,32,14.946843284467647,9.456645608511685,"5,557",design,45,13.0,0.0,Revopoint 3D,1.0,1,5,1,15.7632387676311, Hong Kong
29,33,8.641885635373555,7.824046010856292,110,comics,45,7.0,0.0,+2 Charisma Productions,1.0,1,4,6,15.9166075437284, CA
30,34,11.057219140425318,12.100712129872347,578,film_Video,30,10.0,0.0,Chris Burkard,1.0,0,6,2,9.00724451596575, CA
31,35,8.229777750081887,8.922658299524402,72,film_Video,45,7.0,0.0,Danni Anderson,1.0,0,4,0,10.647993025371216, CA
32,36,10.494096065610401,10.250263664295613,"1,338",comics,30,4.0,0.0,Zainab Akhtar,1.0,1,5,1,13.028322991070935, UK
33,37,12.488790968937872,9.980448593672257,"4,061",design,38,12.0,0.0,Marko Borko and Andrej Glažar,1.0,1,5,1,11.463430552524057, Slovenia
34,38,10.023933705611995,10.021270588192511,167,crafts,37,12.0,0.0,Rachel Papo,1.0,1,4,0,14.648708334886981, NY
35,40,14.193863428549214,11.512925464970229,"15,277",games,21,4.0,0.0,Patrick Leder,1.0,1,5,1,14.836582117509636, MN
36,41,10.849836379460154,9.287301413112312,241,design,30,11.0,0.0,Open Funk,1.0,1,5,2,15.047007280023905, Germany
37,42,11.563666106673413,9.615805480084347,"1,262",design,42,47.0,0.0,Crave,1.0,1,5,0,14.151849928616338, CA
38,43,10.20466564265568,10.165851817003619,205,art,33,14.0,0.0,Pamela Council,1.0,1,5,4,15.9166075437284, NY
39,44,13.852815976572932,13.122363377404328,"4,252",film_Video,40,18.0,0.0,Sherrilyn McQueen,1.0,1,4,6,13.047376865601485, GA
40,45,12.611691075217317,12.524526376648708,"1,559",publishing,44,13.0,0.0,McSweeney's Publishing,1.0,1,5,1,14.151849928616338, CA
41,46,12.995527235768135,12.611537753638338,"4,126",music,29,21.0,0.0,Murder by Death,1.0,1,4,4,12.403442900525645, KY
42,47,9.909119662387758,9.822819649468673,171,crafts,30,13.0,0.0,GB Limited Editions,1.0,1,5,1,13.433583737933631, CO
43,48,9.970351492789636,8.732304571033183,685,comics,30,34.0,0.0,Xylophone,1.0,1,5,0,14.648708334886981, NY
45,50,11.278961079024354,10.819778284410283,471,journalism,25,24.0,0.0,Swoon / The Heliotrope Foundation,1.0,1,5,4,8.473659189392508, PA
46,51,8.29154650988391,10.308952660644293,29,technology,35,6.0,0.0,Cherise Morris,1.0,0,4,1,13.425597881382114, MI
47,52,8.505055830755891,8.501063809486354,48,theater,60,4.0,0.0,Chris,1.0,1,4,1,13.049771178961905, UK
48,53,12.099567030051285,10.819778284410283,"2,453",comics,31,26.0,0.0,Octas Inc.,1.0,1,5,0,15.936165897399452, Japan
49,54,10.248813337717966,9.615805480084347,84,film_Video,33,32.0,0.0,Lucy Eden,1.0,1,4,0,15.9166075437284, NY
50,55,10.375708845945924,9.152805216589813,161,design,28,6.0,0.0,ample,1.0,1,4,1,15.261576235762831, AU
51,57,12.618192230082501,12.206072645530174,"1,774",games,24,3.0,0.0,Arcane Minis,1.0,1,4,0,11.183698914847861, OH
52,58,9.963029235244443,9.903487552536127,245,fashion,25,5.0,0.0,Chester Toye,1.0,1,4,0,15.194750847520005, CA
53,59,9.349738422063616,8.91841062424483,187,food,30,15.0,0.0,Amanda Wright,1.0,1,4,1,13.161486008824678, Canada
54,60,13.08497018531669,8.922658299524402,"3,299",design,30,19.0,0.0,Canairi,1.0,1,4,1,13.958411048202212, Denmark
55,61,12.030230054833929,10.126631103850338,"1,078",design,30,6.0,0.0,Nebia,1.0,1,3,1,14.151849928616338, CA
56,62,8.693999567522082,6.214608098422191,134,film_Video,16,11.0,0.0,T. Thorn Coyle,1.0,1,4,1,13.357133477695209, OR
57,63,14.62805990712157,10.819778284410283,"2,624",design,36,24.0,0.0,Oru Kayak,1.0,1,3,1,9.366831168735615, CA
58,64,14.738776506355311,9.210340371976184,"11,274",technology,60,4.0,0.0,REEKON Tools Inc.,1.0,1,3,1,13.410750701107972, MA
59,65,11.551646053081827,10.571316925111784,"1,007",design,28,7.0,0.0,Sourhouse,1.0,1,4,1,11.39089341502443, NC
60,66,9.375698866091676,9.311994025702683,189,crafts,30,17.0,0.0,Zoe,1.0,1,4,1,9.337501517592862, UK
61,67,13.907317846164732,11.302204433654575,"11,540",games,23,4.0,0.0,Lucky Duck Games,1.0,1,4,1,13.534539251203935, Poland
63,69,10.03536282454965,9.980448593672257,214,crafts,40,12.0,0.0,L'Association FotoEvidence,1.0,1,3,3,16.20683757967915, India
64,71,11.473872737706527,11.225243392518447,743,comics,29,7.0,0.0,Beehive Books,1.0,1,3,1,14.264955549209741, PA
