created, backed, verified
2 created, 10 backed, janos stone
2 created, 0 backed, Maho Williams
7 created, 16 backed, Marc Barros
2 created, 1 backed, Akwasi Brenya-Mensa
3 created, 88 backed, Adam Lawson
First created, 2 backed, Julia Greenberg
4 created, 23 backed, Donold Wooldridge
First created, 0 backed, 幸治 山本
5 created, 21 backed, Amanda Coronado
First created, 0 backed, 信吾 國枝
First created, 6 backed, Sandra Sugawara
First created, 1 backed, Karen O'Hare
First created, 2 backed, Thomas Rogers
2 created, 9 backed, Luke Campbell
First created, 0 backed, Elisa Manici
7 created, 0 backed, Cynthia Chavez
13 created, 170 backed, Jason Wiseman
First created, 10 backed, Chad Coon
First created, 0 backed, Žiga Nemanič
First created, 0 backed, Jackson Lennon
First created, 0 backed, WEI JIDONG
2 created, 0 backed, Xiaofeng Ye
First created, 0 backed, Anthony Maldonado
2 created, 2 backed, Justin Hubbell
First created, 0 backed, Yinghui Ma
First created, 2 backed, Stanislavs Nevedomskis
15 created, 22 backed, Richard Loxam
5 created, 26 backed, Danson Njoka
3 created, 0 backed, Huanhuan Li
2 created, 12 backed, Raymond McDaniel-Ruiz
2 created, 0 backed, Chris Burkard
First created, 1 backed, Kayla Anderson
9 created, 40 backed, Zainab Akhtar
4 created, 25 backed, Marko  Borko
2 created, 11 backed, Rachel Papo
9 created, 357 backed, Patrick Leder
First created, 1 backed, Paul Anca
3 created, 0 backed, Michael Topolovac
First created, 0 backed, Pamela Council
First created, 40 backed, Sherrilyn Kenyon
2 created, 2 backed, Amanda  Uhle
5 created, 28 backed, Adam Turla
12 created, 22 backed, Stuart  Smith
First created, 9 backed, Jason  Mojica
3 created, 10 backed, Clementine  Seely
First created, 0 backed, Cherise Morris
First created, 0 backed, Christopher Honey
First created, 6 backed, Vincent  Shortino
First created, 19 backed, Michelle DuQuesnay
First created, 6 backed, Charles Skender
4 created, 113 backed, Benjamin McLennan
First created, 3 backed, Anne Alexander
First created, 4 backed, Stefani Dubbeldam
First created, 6 backed, Andreas  Kofoed Sørensen
6 created, 3 backed, Marcus Huynh
4 created, 89 backed, T Thorn Coyle
5 created, 0 backed, Ardavan Sobhani
2 created, 1 backed, Christian Reed
First created, 10 backed, Erik Fabian
First created, 8 backed, Zoe Winter
11 created, 406 backed, Vincent Vergonjeanne
First created, 1 backed, Svetlana Bahchevanova
16 created, 29 backed, Joshua O'Neill
9 created, 172 backed, Omar Rada
First created, 0 backed, Zachary Miscavage
First created, 0 backed, Kevin Wesson
First created, 0 backed, Dhillon Shukla
2 created, 0 backed, Bella Okuya
2 created, 0 backed, Tiago Teixeira
2 created, 0 backed, Jeremy Druker
First created, 11 backed, Joseph Specter
First created, 0 backed, Benjamin Bovington-Key
First created, 3 backed, Daniel Rogers
First created, 18 backed, George Atkinson
First created, 0 backed, Jared  LaCroix
6 created, 17 backed, Griffin Gonzales
First created, 7 backed, Nessa Norich
First created, 26 backed, Noah Averbach-Katz
First created, 0 backed, Adam Davis
First created, 2 backed, Jan Eilhardt
13 created, 46 backed, Robyn Jasko
First created, 2 backed, Lauren Camphire
24 created, 205 backed, Mike Kennedy
5 created, 26 backed, Hansol Hong
First created, 23 backed, Davide Garofalo
First created, 0 backed, Federico Simón Mejía Ochoa
First created, 0 backed, Hiroshi Hirono
First created, 0 backed, Christopher Kim
First created, 0 backed, Jennifer Nguyen
2 created, 1 backed, Aaron Cottrell
First created, 0 backed, Haleigh  Nickerson
First created, 0 backed, Cash Huckabay
9 created, 69 backed, David Martin
4 created, 13 backed, Azikiwe mohammed
2 created, 79 backed, Emily Sanderson
First created, 5 backed, Chun Chun Pang
First created, 19 backed, Jenelle Dunn
First created, 4 backed, Sharon Wisnia
2 created, 2 backed, Shannon Hatakeda
