index,page_name,likes_at_posting,followers_at_posting,type,likes,comments,shares,post_views,entities_identified,post_sponsored,post_age,page_age,positive_reactions,negative_reactions,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
0,GoFundMe,1839689,1942958,photo,9,2,3,16,PERSON,0,0,4545,7,0,0.01136683952063322,0.011367056518793106,0.011369210667908192,0.011366534046828747,0.48250091075897217,0.011368158273398876,0.011367207393050194,0.011366537772119045,0.011368638835847378,0.41519230604171753,0.011366576887667179
1,Kickstarter,1589842,1587991,link,1,1,0,2,"ORG,PERSON,DATE",0,0,4839,1,0,6.629138930373738e-05,0.20004616677761078,1.4435712423107547e-05,0.19196109473705292,3.4120545236973536e-05,4.6120736422266706e-05,8.595832236018072e-05,0.3954271078109741,8.596049316974176e-05,9.477247490486205e-05,0.17718550562858582
2,Kickstarter,1589842,1587991,link,4,3,0,6,"ORG,DATE,PERSON,ORDINAL",0,0,4839,1,1,2.2044146880255836e-05,4.589964894311121e-05,0.5973267555236816,3.627346799835591e-05,0.12604303658008575,9.814739551337778e-05,0.15433132648468018,1.2708113305420508e-05,2.508016232796205e-05,8.088948003895515e-05,0.09955739974975586
3,GoFundMe,1839047,1942443,video,42,42,19,69681,"CARDINAL,PERSON,DATE",0,1,4545,59,1,8.363575295136095e-05,8.349359411319096e-05,7.261819813364162e-05,5.2771921153098596e-05,6.112494832220958e-05,0.42943719029426575,7.378937738217623e-05,4.4933239474985847e-05,8.744555254131624e-05,0.527481734752655,7.370698163183036e-05
4,Kickstarter,1589866,1588006,link,5,2,0,5,,0,2,4839,0,0,6.702743410356776e-05,0.17095477879047394,5.895370142046677e-05,2.9334163474628773e-05,0.7778891921043396,8.202935960574763e-05,5.371890054277496e-05,4.668268880241618e-05,9.581946285520021e-05,4.532096332887055e-05,8.465282886814377e-05
5,Indiegogo,582560,602828,video,5,2,0,1297,,0,2,5303,0,0,9.414535663132485e-05,0.9300625920295715,1.4600301647200005e-05,1.3093117023289664e-05,2.72442386695185e-05,7.258476077439664e-05,9.120950973942546e-05,3.8419027613905885e-05,6.038627556343589e-05,8.901655886396992e-05,5.543407808998569e-05
6,Kickstarter,1589901,1588019,link,10,2,1,12,PRODUCT,0,2,4839,2,0,9.690503309963034e-05,1.8161163812909612e-05,0.2867445945739746,0.12282483279705048,7.670980165599847e-05,4.0372994408141624e-05,0.5500161647796631,7.194600315195301e-05,5.319387809399703e-05,5.0796074859104836e-05,8.336309900270257e-05
7,Indiegogo,582560,602828,video,4,2,1,622,WORK_OF_ART,0,2,5303,0,0,1.2737383501189732e-05,3.0238045897499686e-05,1.544509525922298e-05,1.9465538461511603e-05,0.37300431728363037,4.618900190700234e-05,0.4814927279949188,1.7031318847919482e-05,0.089510977268219,9.203567481532726e-05,8.236154238227693e-05
8,Indiegogo,582560,602828,video,2,3,2,562,PERSON,0,3,5303,1,2,0.010103173553943634,0.010102517902851105,0.010104015469551086,0.010102931410074234,0.010102517902851105,0.010103591717779636,0.010102586820721626,0.4545484781265259,0.010102844797074795,0.010102517902851105,0.4545248746871948
9,Indiegogo,582560,602828,video,4,1,0,386,ORG,0,3,5303,0,0,0.24888373911380768,0.6926540732383728,9.592954399805158e-05,7.072027023130622e-05,6.501904392794663e-05,7.557858714034937e-05,2.5413624176326356e-05,6.789220059757697e-05,7.471589412813573e-05,5.115735251575764e-05,8.731681975227137e-05
12,Indiegogo,582639,602900,link,1,1,0,1,PRODUCT,0,5,5303,0,0,2.780227173213643e-05,0.9521406888961792,9.329044206882063e-05,1.1180175705953447e-05,3.049797076330083e-05,8.211558866192449e-05,9.95030094588758e-05,2.6608471439064924e-05,3.6382839053714466e-05,3.438935487631114e-05,3.058566879826489e-05
13,Indiegogo,582639,602900,video,14,3,4,4604,PRODUCT,0,6,5303,1,0,9.333598134393187e-05,0.45511874556541443,6.773808443101548e-05,8.957178464273833e-05,2.2320691671196585e-05,4.390316858551979e-05,7.021917776326158e-05,0.24874792993068695,0.25570544600486755,9.427974847425788e-05,7.20115910455904e-05
14,Indiegogo,582651,602897,link,3,0,0,3,"ORG,ORDINAL,CARDINAL",0,6,5303,0,0,7.073350101759277e-05,0.7285904884338379,0.10532122850418091,3.4335443949574235e-05,4.261982757803082e-05,2.0150853168130614e-05,5.750065673542457e-05,8.923651786555285e-05,0.11758623272180557,3.580796914993045e-05,3.1529345624479234e-05
15,GoFundMe,1838581,1941839,link,141,158,15,185,"ORG,PERSON,GPE,EVENT",0,6,4545,44,0,0.6375840306282043,4.948505221874534e-05,3.061295380408951e-05,5.555839632720483e-05,5.295404535562054e-05,0.2540431618690491,6.152130834773054e-05,0.07007382810115814,9.771227859303143e-05,9.02897715706026e-05,9.717137328819392e-05
