original_index,page_name,likes_at_posting,followers_at_posting,type,likes,comments,shares,post_views,readability,readability_lix,entropy_scores,perplexity_scores,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,entities_identified,post_sponsored,post_age,page_age,positive_reactions,negative_reactions,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
0,GoFundMe,1839689,1942958,photo,9,2,3,16,13.933684210526316,41.80701754385965,1.843583258099737,6.319140854028733,4.3708610696262625e-05,7.273117125408367e-05,7.720494415156559e-05,0.1666666666666666,3.751706748712606e-05,0.5,0.1666666666666666,0.1666666666666666,9.506499076324976e-05,3.821331554302898e-05,PERSON,0,0,4545,7,0,0.0156368520110845,0.0156280528753995,0.0156290978193283,0.01562961935997,0.8905452489852905,0.0156683772802352,0.0156321283429861,0.0156306494027376
1,Kickstarter,1589842,1587991,link,1,1,0,2,8.267142857142858,48.595238095238095,0.8526318970439388,2.345812671901961,9.556428757689246e-05,6.041043847084136e-05,1.988737813474601e-05,0.25,5.574004315194409e-05,0.25,4.688456637289483e-05,7.183043632798147e-05,5.184526733632816e-05,0.25,"DATE,PERSON,ORG",0,0,4839,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9513017535209656
2,Kickstarter,1589842,1587991,link,4,3,0,6,22.60583333333333,80.44444444444444,1.3961439238132718,4.0395929171453,7.587945476302647e-05,4.478163078951417e-05,4.822151425272644e-05,7.532384686248562e-05,2.1906597227700525e-05,5.931078415291242e-05,8.506826166756703e-05,8.238128472819471e-05,1.469679668851443e-05,1.1436555723550145e-05,"DATE,PERSON,ORDINAL,ORG",0,0,4839,1,1,0.9687020778656006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,GoFundMe,1839047,1942443,video,42,42,19,69681,14.12548387096774,50.35483870967742,0.9891707894796368,2.689003797389414,0.1333333333333333,4.782246416267877e-05,1.160066271362351e-05,0.2,0.0666666666666666,0.2666666666666666,0.0666666666666666,0.0666666666666666,7.303805806803691e-05,0.2,"DATE,PERSON,CARDINAL",0,1,4545,59,1,0.4070525467395782,0.0,0.0,0.0,0.0,0.553436815738678,0.0,0.0
4,Kickstarter,1589866,1588006,link,5,2,0,5,8.475000000000001,33.0,0.0290992637113942,1.029526784052753,6.38792635777333e-05,6.0589979436090654e-05,1.3020326348252605e-05,0.5,9.120294724390168e-05,0.5,8.158291526455958e-05,6.525321651851322e-05,3.294196794718822e-05,4.8780516723164254e-05,,0,2,4839,0,0,0.0,0.0,0.0,0.0,0.945261538028717,0.0,0.0,0.0
5,Indiegogo,582560,602828,video,5,2,0,1297,1.3866666666666667,25.666666666666664,0.4239959641947424,1.5280554268374873,2.4041677639819287e-05,0.3333333333333333,5.346580268949991e-05,6.48844043898214e-05,7.748526010459642e-05,0.3333333333333333,0.3333333333333333,2.822452137194712e-05,3.914690981118218e-05,3.760904045260725e-05,,0,2,5303,0,0,0.0,0.9326636791229248,0.0,0.0,0.0,0.0,0.0,0.0
6,Kickstarter,1589901,1588019,link,10,2,1,12,4.836818181818181,33.72727272727273,0.7199960747377576,2.0544251464706034,2.403950683025824e-05,1.0527825509844518e-05,3.683775683358365e-05,6.218508103033269e-05,9.317400279472308e-05,1.0,2.9022184977302543e-05,1.9925957813179935e-05,2.769834283900912e-05,6.18946614929893e-05,PRODUCT,0,2,4839,2,0,0.0,0.0,0.2688511312007904,0.0,0.0,0.0,0.6894434094429016,0.0
7,Indiegogo,582560,602828,video,4,2,1,622,3.371491228070173,23.19298245614035,1.3888304272779173,4.010157138776149,1.5227525095137952e-05,1.7065888160824888e-05,8.605965691048709e-05,0.5,7.149061460063462e-05,7.283467331232897e-05,2.6546974876297276e-05,8.73909727330048e-05,3.780418595954697e-05,9.3683256411164e-05,WORK_OF_ART,0,2,5303,0,0,0.0,0.0,0.0,0.9325675964355468,0.0,0.0,0.0,0.0
9,Indiegogo,582560,602828,video,4,1,0,386,5.816436781609195,40.701149425287355,0.5918962206239442,1.807412420745308,8.795585311974417e-05,1.700910901821617e-05,5.085396655686913e-05,3.5019769061794416e-05,2.662243990680935e-05,6.756083025442064e-05,0.5,1.1807418760974795e-05,6.19041974509782e-05,3.770797024779744e-05,ORG,0,3,5303,0,0,0.2509172558784485,0.695443332195282,0.0,0.0,0.0,0.0,0.0,0.0
12,Indiegogo,582639,602900,link,1,1,0,1,0.68888888888889,20.11111111111111,0.6553992074728258,1.925911202077684,6.41003510568888e-05,7.361232365894547e-05,4.671418339488667e-05,8.017159288290202e-05,0.1666666666666666,0.5,7.459585491563794e-05,6.786118973388269e-05,1.9823836894513525e-05,0.1666666666666666,PRODUCT,0,5,5303,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9539300203323364
13,Indiegogo,582639,602900,video,14,3,4,4604,3.859848484848485,25.515151515151516,0.4840314766987558,1.6226027190254335,7.372653200164409e-05,9.280343476981474e-05,5.47520932170607e-05,6.232642931922917e-05,3.774403026876244e-05,0.6666666666666666,5.954274052553445e-05,2.3759679687788163e-05,6.279433060524084e-05,0.3333333333333333,PRODUCT,0,6,5303,1,0,0.0,0.3494538366794586,0.0,0.0,0.0,0.0,0.0,0.6088484525680542
14,Indiegogo,582651,602897,link,3,0,0,3,4.153529411764705,20.264705882352946,0.7480195282908715,2.112811506953029,1.185260448662222e-05,3.43615243871558e-05,1.363949480913952e-05,0.25,5.3816371759312605e-05,0.5,6.014853196138441e-05,9.918728377881178e-05,6.702070199984175e-05,0.25,"CARDINAL,ORDINAL,ORG",0,6,5303,0,0,0.0,0.4827637076377868,0.0,0.467189222574234,0.0,0.0,0.0,0.0
15,GoFundMe,1838581,1941839,link,141,158,15,185,9.508260869565216,37.586956521739125,0.5802327042825575,1.7864540979036088,9.72918866945795e-05,4.3344229335356285e-05,9.03514020778594e-05,1.0,6.465323848241863e-05,7.987978501158412e-05,7.772637911134191e-05,8.827577485654708e-05,8.963413221635824e-05,9.97422866455943e-05,"EVENT,PERSON,GPE,ORG",0,6,4545,44,0,0.7580074071884155,0.0,0.0,0.0,0.0,0.2024872899055481,0.0,0.0
16,Indiegogo,582668,602910,video,1,7,0,657,4.0952380952380985,30.76190476190476,1.0216122320521026,2.777669403558931,8.491983767203795e-05,6.120292652602447e-05,9.984728401605626e-05,0.6,9.338134936026464e-05,0.2,8.69473713719611e-05,6.47601153401096e-05,8.736808992378608e-05,0.2,PRODUCT,0,7,5303,0,0,0.0113792149350047,0.257991760969162,0.0113871358335018,0.0113807516172528,0.4502518773078918,0.0113714188337326,0.0113785630092024,0.2348592728376388
19,Indiegogo,582640,602877,video,1,1,1,584,10.223888888888894,34.87407407407407,1.462821965235095,4.318127957805112,2.6506405886809046e-05,0.0714285714285714,2.2921971710373572e-05,0.2857142857142857,0.1428571428571428,0.2142857142857142,8.460592385428694e-05,8.096376200161917e-05,1.45796260608434e-05,0.0714285714285714,"DATE,PRODUCT,ORG",0,8,5303,1,0,0.0,0.0,0.0,0.5990992784500122,0.0,0.0,0.0,0.3614044487476349
22,Indiegogo,582640,602877,link,1,1,0,1,1.2325000000000017,20.0,0.698187320756139,2.0101057261376645,0.1666666666666666,7.022387399813658e-05,8.631317460505699e-05,8.450228649684273e-05,0.1666666666666666,4.860213534466485e-05,0.3333333333333333,9.538819007975582e-05,2.635275165600404e-05,7.737686291829005e-05,"CARDINAL,ORG",0,8,5303,0,0,0.0,0.0,0.4083359837532043,0.2552769482135772,0.0,0.0,0.0,0.2946660220623016
24,Kickstarter,1589715,1587803,link,3,1,0,4,15.9,61.666666666666664,0.2845818055954214,1.3292060453444383,0.2857142857142857,4.6927334968539586e-05,5.047207060324058e-05,9.986726016906336e-05,8.764386299015934e-05,0.2857142857142857,0.1428571428571428,9.580666515338998e-05,8.22935794812121e-05,0.1428571428571428,"PERSON,GPE",0,9,4839,0,1,0.0,0.0,0.3486696183681488,0.0,0.0,0.6137418150901794,0.0,0.0
