,Insample RMSE,Insample MAE,Insample R2,Insample EV Score,Outsample RMSE,Outsample MAE,Outsample R2,Outsample EV Score,diff_R2
GaussianProcessRegressor,0.0,0.0,1.0,1.0,46.023,19.693,-0.224,-0.0,1.224
PoissonRegressor,39.448,20.65,0.0,0.0,125855572.213,125855572.213,-9154220750235.402,0.0,9154220750235.402
DummyRegressor,39.448,20.65,0.0,0.0,125855572.213,125855572.213,-9154220750235.467,0.0,9154220750235.467
NuSVR,40.444,16.485,-0.051,0.006,1423801293.368,61168461.976,-1171588904796400.8,-1169426526840509.5,1171588904796400.8
SVR,41.252,16.018,-0.094,0.007,3076631841.994,134419132.729,-5470506582908717.0,-5460064222895663.0,5470506582908717.0
HuberRegressor,41.338,16.035,-0.098,0.001,11982122865.511,426114286.855,-8.29743809755657e+16,-8.286944397047968e+16,8.29743809755657e+16
ElasticNetCV,37.199,18.712,0.111,0.111,75570218751751.36,9268520172694.447,-3.300485603079177e+24,-3.250838114686266e+24,3.300485603079177e+24
LassoCV,37.161,18.686,0.113,0.113,96618588794453.86,11738000976126.58,-5.395079687587469e+24,-5.315451878500242e+24,5.395079687587469e+24
TweedieRegressor,37.575,18.808,0.093,0.093,3551531676262120.5,301336120706210.0,-7.289670008814456e+27,-7.237191816108133e+27,7.289670008814456e+27
OrthogonalMatchingPursuit,36.178,19.506,0.159,0.159,1.4369039052789496e+20,1.2770061514229115e+19,-1.1932513494883733e+37,-1.1838267595653927e+37,1.1932513494883733e+37
OrthogonalMatchingPursuitCV,36.086,19.38,0.163,0.163,2.8907353401026323e+21,1.6660482783361512e+20,-4.829399665304945e+39,-4.813357918838339e+39,4.829399665304945e+39
ElasticNet,35.751,18.859,0.179,0.179,9.375197503998886e+21,6.564815934384914e+20,-5.079691473082461e+40,-5.0547844632921e+40,5.079691473082461e+40
Lasso,35.544,18.311,0.188,0.188,1.4663844332903607e+22,1.0703427159139966e+21,-1.242716793454244e+41,-1.236095814617809e+41,1.242716793454244e+41
LassoLars,35.544,18.311,0.188,0.188,1.4664420673083362e+22,1.0703834906315572e+21,-1.2428144815746287e+41,-1.2361929982760616e+41,1.2428144815746287e+41
ARDRegression,34.392,16.668,0.24,0.24,7.603876730512647e+31,3.158325184471819e+30,-3.341539655123774e+60,-3.335774776462583e+60,3.341539655123774e+60
BayesianRidge,34.25,16.997,0.246,0.246,5.448960528585322e+35,2.683308741346938e+34,-1.7159467553158118e+68,-1.7117855631245685e+68,1.7159467553158118e+68
LassoLarsCV,34.237,16.952,0.247,0.247,3.675848113263618e+36,1.7156222735810252e+35,-7.808931259833049e+69,-7.791920651862405e+69,7.808931259833049e+69
LarsCV,34.338,17.027,0.242,0.242,4.6600087841428407e+36,1.7266921265873005e+35,-1.255017999780182e+70,-1.2532949163688737e+70,1.255017999780182e+70
LassoLarsIC,34.234,16.991,0.247,0.247,6.052056181520674e+36,2.8983890612222744e+35,-2.116812472854614e+70,-2.1119574659948334e+70,2.116812472854614e+70
Ridge,34.233,17.023,0.247,0.247,6.32018127552208e+36,3.0974094752274324e+35,-2.30853016501283e+70,-2.302985520220757e+70,2.30853016501283e+70
KernelRidge,34.237,17.03,0.247,0.247,7.033738017820819e+36,3.2164183350474463e+35,-2.8592284769079086e+70,-2.853249573431708e+70,2.8592284769079086e+70
LinearRegression,34.231,17.036,0.247,0.247,1.113109782924301e+37,5.49432417186739e+35,-7.160650604464031e+70,-7.143204235880069e+70,7.160650604464031e+70
RidgeCV,36.547,17.558,0.142,0.142,1.176102901423728e+37,5.764154519180252e+35,-7.994054903479384e+70,-7.974852848327703e+70,7.994054903479384e+70
MLPRegressor,343.279,53.306,-74.728,-74.652,1.511645061485945e+80,5.502009726318877e+78,-1.3206147483735997e+157,-1.3188652272458472e+157,1.3206147483735997e+157
AdaBoostRegressor,43.433,40.834,-0.212,0.638,1.2534162743803558e+106,4.3376493430353957e+104,-9.079608913237426e+208,-9.068735012477255e+208,9.079608913237426e+208
ExtraTreesRegressor,0.0,0.0,1.0,1.0,5.560898980687152e+124,1.9385635899249268e+123,-1.787172591792169e+246,-1.7850007079864994e+246,1.787172591792169e+246
HistGradientBoostingRegressor,12.394,6.586,0.901,0.901,8.405242747459024e+128,2.908754196437869e+127,-4.0829776735083186e+254,-4.07808787988735e+254,4.0829776735083186e+254
GradientBoostingRegressor,20.416,9.785,0.732,0.732,3.4782665551132296e+129,1.2037037814820155e+128,-6.992012655272691e+255,-6.983638987354401e+255,6.992012655272691e+255
RandomForestRegressor,9.308,4.115,0.944,0.944,8.737612258327107e+131,3.02377540862092e+130,-4.412269395958082e+260,-4.406985240992863e+260,4.412269395958082e+260
KNeighborsRegressor,20.985,9.215,0.717,0.717,4.0247659872494993e+133,1.3928277037128457e+132,-9.361765367764267e+263,-9.350553672713053e+263,9.361765367764267e+263
BaggingRegressor,11.209,4.569,0.919,0.919,3.6229788832809186e+135,1.2537835428411618e+134,-7.585917048525386e+267,-7.576832117928349e+267,7.585917048525386e+267
DecisionTreeRegressor,0.0,0.0,1.0,1.0,inf,5.888941338618569e+154,-inf,-inf,inf
