,Insample RMSE,Insample MAE,Insample R2,Insample EV Score,Outsample RMSE,Outsample MAE,Outsample R2,Outsample EV Score,diff_R2
GaussianProcessRegressor,0.0,0.0,1.0,1.0,24.94,11.517,-0.271,-0.0,1.271
PassiveAggressiveRegressor,594.712,40.592,-717.276,-714.108,72031.257,1790.857,-10602305.565,-10595859.329,10601588.288999999
PoissonRegressor,22.19,12.434,0.0,0.0,118440.411,118440.409,-28665410.577,-0.0,28665410.577
DummyRegressor,22.19,12.434,0.0,0.0,118440.411,118440.409,-28665410.577,-0.0,28665410.577
SVR,22.804,9.934,-0.056,0.051,157639693066407.53,9589476551525.797,-5.077962993327581e+25,-5.059172067710228e+25,5.077962993327581e+25
NuSVR,22.203,10.262,-0.001,0.048,330602226289063.94,18449841905126.316,-2.233417516502575e+26,-2.2264617712418864e+26,2.233417516502575e+26
RidgeCV,22.542,10.905,-0.032,-0.032,388693092249176.56,21254824566404.637,-3.08725153627244e+26,-3.0780200119174823e+26,3.08725153627244e+26
ARDRegression,20.034,10.481,0.185,0.185,2793504706866905.0,147875142241571.0,-1.5946199209277298e+28,-1.5901515551074774e+28,1.5946199209277298e+28
AdaBoostRegressor,21.505,14.035,0.061,0.281,2.7279912425849196e+44,9.035641054496146e+42,-1.5207026892761224e+86,-1.5190343809764208e+86,1.5207026892761224e+86
HistGradientBoostingRegressor,7.313,3.947,0.891,0.891,6.100987569711807e+44,1.7979631776413395e+43,-7.606040799012553e+86,-7.599435082123057e+86,7.606040799012553e+86
KNeighborsRegressor,13.296,5.715,0.641,0.641,1.0434522340213466e+47,2.4900526875195748e+45,-2.2248642454282673e+91,-2.223597248845984e+91,2.2248642454282673e+91
RandomForestRegressor,6.057,2.619,0.925,0.926,1.2493101865039742e+47,3.01136883229184e+45,-3.189326141032259e+91,-3.1874730947240264e+91,3.189326141032259e+91
ElasticNetCV,22.016,12.343,0.016,0.016,1.0719536374191729e+50,2.5566222659123046e+48,-2.3480664050831712e+97,-2.3467307586638977e+97,2.3480664050831712e+97
LassoCV,22.016,12.343,0.016,0.016,1.0720295403867578e+50,2.5568032953992168e+48,-2.348398940953943e+97,-2.3470631053788844e+97,2.348398940953943e+97
BaggingRegressor,6.979,2.895,0.901,0.901,2.1252783902537772e+52,6.051018259436143e+50,-9.229751813032384e+101,-9.22226985449322e+101,9.229751813032384e+101
ExtraTreesRegressor,0.0,0.0,1.0,1.0,6.0922992629638496e+53,1.4555565114545165e+52,-7.584392972132035e+104,-7.580063683777384e+104,7.584392972132035e+104
GradientBoostingRegressor,12.649,6.1,0.675,0.675,1.543215608082205e+58,3.6805877110742605e+56,-4.866442368713622e+113,-4.863674198993079e+113,4.866442368713622e+113
KernelRidge,20.035,10.679,0.185,0.185,8.805021399380446e+73,2.100008151069662e+72,-1.584233534116241e+145,-1.583332377384661e+145,1.584233534116241e+145
Ridge,19.821,10.372,0.202,0.202,3.3853449203048938e+78,8.074088187136928e+76,-2.3418777381568808e+154,-2.340545612025961e+154,2.3418777381568808e+154
LarsCV,19.83,10.345,0.201,0.201,3.5764998104148908e+78,8.529994889846436e+76,-2.6138146215956226e+154,-2.6123278100930072e+154,2.6138146215956226e+154
LassoLarsCV,19.83,10.345,0.201,0.201,3.5764998104148908e+78,8.529994889846436e+76,-2.6138146215956226e+154,-2.6123278100930072e+154,2.6138146215956226e+154
LassoLarsIC,19.828,10.35,0.202,0.202,3.630505420221424e+78,8.658798916154864e+76,-2.6933484855168235e+154,-2.6918164329084536e+154,2.6933484855168235e+154
LinearRegression,19.82,10.378,0.202,0.202,4.0184470521440344e+78,9.58404435534718e+76,-3.2997031476445023e+154,-3.297826183396695e+154,3.2997031476445023e+154
Lars,19.82,10.379,0.202,0.202,4.08030247380379e+78,9.731570276956497e+76,-3.402068764926832e+154,-3.400133572227782e+154,3.402068764926832e+154
BayesianRidge,19.834,10.308,0.201,0.201,1.0502257302815527e+79,2.5048009471158525e+77,-2.2538430954944865e+155,-2.2525610459521117e+155,2.2538430954944865e+155
Lasso,20.252,10.442,0.167,0.167,2.546163165019254e+84,6.072629648429923e+82,-1.3247405564772407e+166,-1.323987006672646e+166,1.3247405564772407e+166
LassoLars,20.252,10.442,0.167,0.167,2.546163597274403e+84,6.072630679363631e+82,-1.3247410062724327e+166,-1.3239874562119825e+166,1.3247410062724327e+166
ElasticNet,20.359,10.559,0.158,0.158,3.0735221739551627e+85,7.330387201845241e+83,-1.930327828560551e+168,-1.9292298036296293e+168,1.930327828560551e+168
OrthogonalMatchingPursuit,20.68,10.886,0.132,0.132,5.766546689880972e+86,1.375328293140311e+85,-6.795008366270326e+170,-6.791143173798046e+170,6.795008366270326e+170
OrthogonalMatchingPursuitCV,20.622,10.835,0.136,0.136,9.333908024537754e+86,2.2261482447098914e+85,-1.7802680776637938e+171,-1.77925541095295e+171,1.7802680776637938e+171
DecisionTreeRegressor,0.0,0.0,1.0,1.0,7.624567437783415e+90,1.818468467378767e+89,-1.1879243659417601e+179,-1.1872486410463183e+179,1.1879243659417601e+179
TweedieRegressor,21.505,11.515,0.061,0.061,8.836145010759754e+90,2.1074311696658316e+89,-1.5954530896093706e+179,-1.5945455508780798e+179,1.5954530896093706e+179
LinearSVR,19499.535,1022.235,-772191.627,-770610.701,3.1281993974834695e+116,7.460793034925194e+114,-1.9996188698975988e+230,-1.9984814302673954e+230,1.9996188698975988e+230
HuberRegressor,22.926,9.905,-0.067,0.032,1.0133063895335177e+128,2.4167478771841345e+126,-2.0981664227082587e+253,-2.096972926449607e+253,2.0981664227082587e+253
