,Importance
post_views,0.023781745209886834
page_age,0.012011554975494746
likes_at_posting,0.002017311896773979
post_age,0.0019525884875658916
type_video,0.0013163823139423082
entity_PERSON,0.0003899692949229805
followers_at_posting,0.0003677265253419282
entropy_scores,0.0003451682776066345
page_name_GoFundMe,0.00031994077841430155
readability_lix,0.0002804522915717134
sadness,0.00017927044018349104
topic_11,0.00017487864990414548
negative,0.0001597600535915511
entity_ORG,0.00015099510878913814
topic_5,0.00014711326318567753
fear,0.0001467643052191414
readability,0.00014441616073111895
entity_DATE,0.00011459505281685267
topic_6,8.457525873907245e-05
topic_2,8.306045303077103e-05
entity_MONEY,8.247736246252301e-05
topic_7,7.757782753815002e-05
positive,7.68286634217652e-05
topic_1,5.956364967595551e-05
disgust,5.653472393498005e-05
anticip,5.508408662473929e-05
entity_TIME,5.264974802673627e-05
topic_9,4.7555024696802615e-05
topic_0,3.32517318228176e-05
topic_10,2.8819989761296183e-05
joy,1.5128214365534021e-05
topic_8,1.41102626929146e-05
page_name_Kickstarter,7.902210120170895e-06
entity_GPE,7.815492482996511e-06
anger,4.85877801500334e-06
topic_4,4.758750043429849e-06
entity_NORP,4.644526288223317e-06
type_photo,4.309224345268037e-06
entity_CARDINAL,4.202951427094703e-06
page_name_Indiegogo,0.0
perplexity_scores,0.0
post_sponsored,-3.7140383467582086e-08
entity_WORK_OF_ART,-4.318202367579183e-06
emotionality,-5.091410095605653e-06
surprise,-5.790110896516376e-06
entity_ORDINAL,-6.121710662361224e-06
topic_3,-2.2415488221179113e-05
entity_PRODUCT,-3.686627620289484e-05
trust,-4.885205876603571e-05
