,Importance
goal_amount,0.44715458256096174
num_projects,0.023706010665516523
fb_likes_at_posting,0.007363082991518431
fb_post_age,0.0067838116740843325
fb_readability,0.0053828457126825265
fb_post_views,0.004040911269569394
start_month,0.002628664936875862
num_backed,0.0024247304800238513
fb_topic_10,1.1102230246251565e-16
fb_topic_9,1.1102230246251565e-16
fb_topic_8,1.1102230246251565e-16
fb_topic_6,1.1102230246251565e-16
fb_topic_7,1.1102230246251565e-16
fb_type_photo,1.1102230246251565e-16
fb_topic_5,1.1102230246251565e-16
fb_topic_4,1.1102230246251565e-16
fb_topic_3,1.1102230246251565e-16
fb_type_link,1.1102230246251565e-16
fb_entity_DATE,1.1102230246251565e-16
fb_type_video,1.1102230246251565e-16
fb_entity_ORG,1.1102230246251565e-16
fb_entity_PERSON,1.1102230246251565e-16
fb_topic_1,1.1102230246251565e-16
fb_entity_CARDINAL,1.1102230246251565e-16
fb_entity_GPE,1.1102230246251565e-16
fb_entity_PRODUCT,1.1102230246251565e-16
fb_entity_WORK_OF_ART,1.1102230246251565e-16
fb_entity_ORDINAL,1.1102230246251565e-16
fb_entity_MONEY,1.1102230246251565e-16
fb_entity_TIME,1.1102230246251565e-16
fb_topic_2,1.1102230246251565e-16
fb_post_sponsored,1.1102230246251565e-16
fb_topic_0,1.1102230246251565e-16
fb_page_age,1.1102230246251565e-16
start_day,1.1102230246251565e-16
Person,1.1102230246251565e-16
duration_<1 week,1.1102230246251565e-16
duration_1-2 weeks,1.1102230246251565e-16
duration_2 weeks - 1 month,1.1102230246251565e-16
duration_1-2 months,1.1102230246251565e-16
fb_readability_lix,1.1102230246251565e-16
fb_entropy_scores,1.1102230246251565e-16
fb_perplexity_scores,1.1102230246251565e-16
fb_fear,1.1102230246251565e-16
fb_anger,1.1102230246251565e-16
fb_anticip,1.1102230246251565e-16
fb_trust,1.1102230246251565e-16
fb_surprise,1.1102230246251565e-16
fb_positive,1.1102230246251565e-16
fb_negative,1.1102230246251565e-16
fb_sadness,1.1102230246251565e-16
fb_disgust,1.1102230246251565e-16
fb_joy,1.1102230246251565e-16
fb_entity_NORP,1.1102230246251565e-16
pledge_types,-0.0020586001680349673
fb_followers_at_posting,-0.0034413629871839335
