,Importance
num_projects,0.09123108126119153
duration_1-2 months,0.0883839703881253
num_backed,0.0846181110875203
fb_entity_PRODUCT,0.045065893577288525
fb_post_age,0.044870743693904605
fb_entity_PERSON,0.043077245806009676
fb_readability,0.042250758530875954
duration_2 weeks - 1 month,0.03198521557516012
fb_entity_GPE,0.02785281798709939
goal_amount,0.009718131906247427
fb_topic_3,0.007728612765967724
fb_type_link,0.007544713524501692
fb_followers_at_posting,0.0074057227601171775
fb_perplexity_scores,0.005767611371099983
fb_post_views,0.0022579022831963023
fb_type_photo,0.001160320454533621
fb_entity_DATE,0.00048802581071179853
fb_likes_at_posting,0.0002874624445646656
fb_topic_9,-1.1102230246251565e-16
fb_topic_5,-1.1102230246251565e-16
fb_topic_6,-1.1102230246251565e-16
fb_topic_4,-1.1102230246251565e-16
fb_topic_8,-1.1102230246251565e-16
fb_entity_CARDINAL,-1.1102230246251565e-16
fb_topic_10,-1.1102230246251565e-16
fb_type_video,-1.1102230246251565e-16
fb_topic_1,-1.1102230246251565e-16
fb_entity_WORK_OF_ART,-1.1102230246251565e-16
fb_entity_ORDINAL,-1.1102230246251565e-16
fb_entity_MONEY,-1.1102230246251565e-16
fb_entity_TIME,-1.1102230246251565e-16
fb_topic_2,-1.1102230246251565e-16
fb_post_sponsored,-1.1102230246251565e-16
fb_topic_0,-1.1102230246251565e-16
fb_trust,-1.1102230246251565e-16
start_day,-1.1102230246251565e-16
Person,-1.1102230246251565e-16
duration_<1 week,-1.1102230246251565e-16
duration_1-2 weeks,-1.1102230246251565e-16
fb_entropy_scores,-1.1102230246251565e-16
fb_fear,-1.1102230246251565e-16
fb_anger,-1.1102230246251565e-16
fb_page_age,-1.1102230246251565e-16
fb_anticip,-1.1102230246251565e-16
fb_surprise,-1.1102230246251565e-16
fb_positive,-1.1102230246251565e-16
fb_negative,-1.1102230246251565e-16
fb_sadness,-1.1102230246251565e-16
fb_disgust,-1.1102230246251565e-16
fb_joy,-1.1102230246251565e-16
fb_entity_NORP,-1.1102230246251565e-16
fb_entity_ORG,-0.0002022511977274988
pledge_types,-0.0036827303302464777
fb_readability_lix,-0.004104386546198433
fb_topic_7,-0.0071383311684302606
start_month,-0.007820836839203484
