,Importance
num_projects,1.0
fb_post_age,0.8951708116601573
num_backed,0.8816435647428315
fb_readability,0.6303079695037032
fb_entity_PRODUCT,0.5602354775935275
fb_entity_PERSON,0.5092995334077317
goal_amount,0.5042813898369646
fb_entity_GPE,0.4476815579170846
fb_perplexity_scores,0.37410710971122
fb_topic_3,0.20531376610672622
fb_readability_lix,0.15943013084523905
fb_likes_at_posting,0.12819924546260664
fb_post_views,0.1055588135067963
fb_followers_at_posting,0.09911230992366203
fb_type_link,0.09748334745021263
fb_entity_DATE,0.08420533060397604
fb_entity_WORK_OF_ART,0.0777371614344116
fb_topic_9,0.0777371614344116
fb_topic_4,0.0777371614344116
fb_entity_NORP,0.0777371614344116
fb_topic_5,0.0777371614344116
fb_topic_6,0.0777371614344116
fb_topic_7,0.0777371614344116
fb_topic_8,0.0777371614344116
fb_type_photo,0.0777371614344116
fb_topic_10,0.0777371614344116
fb_type_video,0.0777371614344116
fb_entity_TIME,0.0777371614344116
fb_entity_MONEY,0.0777371614344116
fb_topic_2,0.0777371614344116
fb_entity_ORDINAL,0.0777371614344116
fb_entity_CARDINAL,0.0777371614344116
fb_post_sponsored,0.0777371614344116
fb_topic_1,0.0777371614344116
fb_surprise,0.0777371614344116
duration_1-2 weeks,0.0777371614344116
fb_entropy_scores,0.0777371614344116
fb_fear,0.0777371614344116
fb_anger,0.0777371614344116
fb_topic_0,0.0777371614344116
fb_anticip,0.0777371614344116
Person,0.0777371614344116
fb_trust,0.0777371614344116
fb_positive,0.0777371614344116
fb_negative,0.0777371614344116
fb_sadness,0.0777371614344116
fb_disgust,0.0777371614344116
fb_joy,0.0777371614344116
start_day,0.0777371614344116
fb_page_age,0.0777371614344116
duration_<1 week,0.0777371614344116
duration_2 weeks - 1 month,0.07446477391458337
duration_1-2 months,0.07436854016726908
fb_entity_ORG,0.06199888009637418
fb_emotionality,0.051808687087605866
start_month,0.012417237577132948
pledge_types,0.0
