,Insample RMSE,Insample MAE,Insample R2,Insample EV Score,Outsample RMSE,Outsample MAE,Outsample R2,Outsample EV Score
GradientBoostingRegressor,0.771,0.574,0.85,0.85,1.472,1.046,0.327,0.327
ExtraTreesRegressor,0.0,0.0,1.0,1.0,1.519,1.148,0.284,0.29
BaggingRegressor,0.882,0.543,0.804,0.804,1.572,1.119,0.233,0.234
RandomForestRegressor,0.739,0.505,0.862,0.863,1.602,1.22,0.204,0.206
ElasticNet,1.902,1.298,0.088,0.088,1.661,1.212,0.143,0.144
LassoLarsCV,1.741,1.186,0.236,0.236,1.667,1.246,0.138,0.142
LassoLarsIC,1.741,1.186,0.237,0.237,1.667,1.246,0.138,0.142
RidgeCV,1.732,1.186,0.245,0.245,1.671,1.243,0.134,0.138
LassoLars,1.911,1.311,0.08,0.08,1.687,1.236,0.116,0.117
Lasso,1.911,1.311,0.08,0.08,1.687,1.236,0.116,0.117
