,Insample RMSE,Insample MAE,Insample R2,Insample EV Score,Outsample RMSE,Outsample MAE,Outsample R2,Outsample EV Score
ExtraTreesRegressor,0.0,0.0,1.0,1.0,2540.141,856.497,0.448,0.448
BaggingRegressor,757.756,288.131,0.871,0.871,2564.292,1013.967,0.437,0.438
RandomForestRegressor,702.901,267.227,0.889,0.889,2620.672,988.164,0.412,0.412
LarsCV,1894.833,917.604,0.191,0.191,2862.903,1169.338,0.298,0.311
RidgeCV,1820.5,871.299,0.254,0.254,2865.179,1205.829,0.297,0.315
Ridge,1808.231,908.761,0.264,0.264,2885.786,1283.301,0.287,0.306
Lasso,1808.132,911.758,0.264,0.264,2887.89,1283.4,0.286,0.305
LassoLars,1808.132,911.758,0.264,0.264,2887.893,1283.411,0.286,0.305
LinearRegression,1803.055,925.019,0.268,0.268,2901.281,1284.194,0.279,0.299
GradientBoostingRegressor,390.374,268.592,0.966,0.966,2902.101,967.33,0.279,0.279
ARDRegression,1837.055,857.808,0.24,0.24,2903.112,1201.087,0.278,0.293
KernelRidge,1813.757,897.294,0.259,0.263,2909.333,1282.449,0.275,0.307
LassoLarsIC,1887.142,830.08,0.198,0.198,2931.911,1136.156,0.264,0.277
LassoLarsCV,1889.005,817.255,0.196,0.196,2950.525,1128.589,0.255,0.268
XGBRegressor,1.722,1.187,1.0,1.0,2974.129,1056.304,0.243,0.253
ElasticNet,1882.854,760.92,0.202,0.202,3004.734,1117.409,0.227,0.244
HistGradientBoostingRegressor,1214.036,265.171,0.668,0.668,3056.875,1187.065,0.2,0.208
TheilSenRegressor,1868.572,738.512,0.214,0.215,3063.003,1127.292,0.197,0.224
AdaBoostRegressor,934.389,835.115,0.803,0.872,3267.641,1475.554,0.086,0.114
KNeighborsRegressor,1804.545,752.79,0.267,0.267,3364.185,1300.608,0.031,0.069
LassoCV,2105.022,864.804,0.002,0.002,3451.526,1342.131,-0.02,0.0
ElasticNetCV,2105.031,864.807,0.002,0.002,3451.526,1342.137,-0.02,0.0
DummyRegressor,2107.178,865.272,0.0,0.0,3451.616,1343.403,-0.02,0.0
PoissonRegressor,2107.178,865.272,0.0,0.0,3451.616,1343.403,-0.02,0.0
BayesianRidge,2098.663,867.208,0.008,0.008,3453.231,1337.524,-0.021,0.001
OrthogonalMatchingPursuitCV,2098.309,870.141,0.008,0.008,3454.436,1339.428,-0.022,0.001
GammaRegressor,2107.265,857.987,-0.0,-0.0,3460.341,1314.709,-0.025,-0.001
TweedieRegressor,2090.043,860.031,0.016,0.016,3465.142,1318.196,-0.028,-0.005
OrthogonalMatchingPursuit,2091.837,858.705,0.015,0.015,3466.319,1319.939,-0.029,-0.005
LinearSVR,2109.29,779.582,-0.002,0.006,3486.2,1256.289,-0.041,0.002
NuSVR,2134.668,721.902,-0.026,-0.0,3515.813,1208.471,-0.058,-0.0
DecisionTreeRegressor,0.0,0.0,1.0,1.0,3558.596,1298.208,-0.084,-0.073
SVR,2169.548,693.511,-0.06,0.0,3560.975,1186.918,-0.086,0.0
HuberRegressor,2171.417,691.552,-0.062,-0.001,3564.84,1181.403,-0.088,-0.001
PassiveAggressiveRegressor,2261.75,830.905,-0.152,0.002,3662.071,1320.545,-0.148,0.001
GaussianProcessRegressor,0.0,0.0,1.0,1.0,3676.552,1355.667,-0.157,0.0
RANSACRegressor,2584.53,1420.174,-0.504,-0.487,3710.881,1941.827,-0.179,-0.124
MLPRegressor,2676.515,1773.687,-0.613,-0.613,3776.822,2210.463,-0.221,-0.167
Lars,3333739.932,2568873.17,-2503000.046,-2502780.678,3202056.56,2491077.194,-877898.25,-876968.057
SGDRegressor,1.3634417993392626e+21,1.3633324970374778e+21,-4.186690000761634e+35,-6.712373223162144e+31,1.3630065334812897e+21,1.362903750274405e+21,-1.590679028946081e+35,-2.398945613057447e+31
