,Insample_Accuracy,Outsample_Accuracy,Insample_Precision,Outsample_Precision,Insample_Recall,Outsample_Recall,Insample_F1 Score,Outsample_F1 Score,Insample_ROC AUC,Outsample_ROC AUC,Insample_Class-0 Acc,Insample_Class-1 Acc,Outsample_Class-0 Acc,Outsample_Class-1 Acc
Balanced Random Forest Classifier,0.7274633123689728,0.7083333333333334,1.0,1.0,0.6976744186046512,0.676923076923077,0.8219178082191781,0.8073394495412844,0.8488372093023255,0.8384615384615385,1.0,0.6976744186046512,1.0,0.676923076923077
Easy Ensemble Classifier,0.6477987421383647,0.5833333333333334,1.0,0.972972972972973,0.6093023255813953,0.5538461538461539,0.7572254335260116,0.7058823529411765,0.8046511627906976,0.7054945054945055,1.0,0.6093023255813953,0.8571428571428571,0.5538461538461539
Balanced Bagging Classifier,0.6457023060796646,0.5416666666666666,1.0,0.9444444444444444,0.6069767441860465,0.5230769230769231,0.7554269175108539,0.6732673267326732,0.8034883720930233,0.6186813186813186,1.0,0.6069767441860465,0.7142857142857143,0.5230769230769231
Gaussian Naive Bayes,0.5303983228511531,0.5277777777777778,0.9598214285714286,0.9428571428571428,0.5,0.5076923076923077,0.6574923547400612,0.6599999999999999,0.6542553191489362,0.6109890109890109,0.8085106382978723,0.5,0.7142857142857143,0.5076923076923077
Gaussian Process,1.0,0.1527777777777778,1.0,0.75,1.0,0.09230769230769231,1.0,0.16438356164383564,1.0,0.40329670329670336,1.0,1.0,0.7142857142857143,0.09230769230769231
Multinomial Naive Bayes,0.6163522012578616,0.625,0.8920634920634921,0.9130434782608695,0.6534883720930232,0.6461538461538462,0.7543624161073826,0.7567567567567568,0.46504205838693713,0.5373626373626375,0.2765957446808511,0.6534883720930232,0.42857142857142855,0.6461538461538462
RUSBoost Classifier,0.8176100628930818,0.8194444444444444,0.9830985915492958,0.9193548387096774,0.8116279069767441,0.8769230769230769,0.889171974522293,0.8976377952755904,0.8419841662543295,0.5813186813186813,0.8723404255319149,0.8116279069767441,0.2857142857142857,0.8769230769230769
AdaBoost,0.9811320754716981,0.8888888888888888,0.979498861047836,0.9130434782608695,1.0,0.9692307692307692,0.9896432681242807,0.9402985074626865,0.9042553191489362,0.5560439560439561,0.8085106382978723,1.0,0.14285714285714285,0.9692307692307692
Extra Trees,1.0,0.9027777777777778,1.0,0.9027777777777778,1.0,1.0,1.0,0.9489051094890512,1.0,0.5,1.0,1.0,0.0,1.0
Gradient Boosting,1.0,0.9027777777777778,1.0,0.9027777777777778,1.0,1.0,1.0,0.9489051094890512,1.0,0.5,1.0,1.0,0.0,1.0
Random Forest,1.0,0.9027777777777778,1.0,0.9027777777777778,1.0,1.0,1.0,0.9489051094890512,1.0,0.5,1.0,1.0,0.0,1.0
XGBoost,1.0,0.9027777777777778,1.0,0.9027777777777778,1.0,1.0,1.0,0.9489051094890512,1.0,0.5,1.0,1.0,0.0,1.0
Bagging,0.9937106918238994,0.9027777777777778,0.9930715935334873,0.9027777777777778,1.0,1.0,0.996523754345307,0.9489051094890512,0.9680851063829787,0.5,0.9361702127659575,1.0,0.0,1.0
Logistic Regression,0.9014675052410901,0.9027777777777778,0.9014675052410901,0.9027777777777778,1.0,1.0,0.9481808158765159,0.9489051094890512,0.5,0.5,0.0,1.0,0.0,1.0
Ridge Classifier,0.9014675052410901,0.9027777777777778,0.9014675052410901,0.9027777777777778,1.0,1.0,0.9481808158765159,0.9489051094890512,0.5,0.5,0.0,1.0,0.0,1.0
Ridge Classifier CV,0.9014675052410901,0.9027777777777778,0.9014675052410901,0.9027777777777778,1.0,1.0,0.9481808158765159,0.9489051094890512,0.5,0.5,0.0,1.0,0.0,1.0
SGD Classifier,0.9014675052410901,0.9027777777777778,0.9014675052410901,0.9027777777777778,1.0,1.0,0.9481808158765159,0.9489051094890512,0.5,0.5,0.0,1.0,0.0,1.0
Perceptron,0.9014675052410901,0.9027777777777778,0.9014675052410901,0.9027777777777778,1.0,1.0,0.9481808158765159,0.9489051094890512,0.5,0.5,0.0,1.0,0.0,1.0
Passive Aggressive Classifier,0.9014675052410901,0.9027777777777778,0.9014675052410901,0.9027777777777778,1.0,1.0,0.9481808158765159,0.9489051094890512,0.5,0.5,0.0,1.0,0.0,1.0
Bernoulli Naive Bayes,0.9014675052410901,0.9027777777777778,0.9014675052410901,0.9027777777777778,1.0,1.0,0.9481808158765159,0.9489051094890512,0.5,0.5,0.0,1.0,0.0,1.0
Support Vector Machine,0.9014675052410901,0.9027777777777778,0.9014675052410901,0.9027777777777778,1.0,1.0,0.9481808158765159,0.9489051094890512,0.5,0.5,0.0,1.0,0.0,1.0
Linear Support Vector Machine,0.9014675052410901,0.9027777777777778,0.9014675052410901,0.9027777777777778,1.0,1.0,0.9481808158765159,0.9489051094890512,0.5,0.5,0.0,1.0,0.0,1.0
K-Nearest Neighbors,0.9014675052410901,0.9027777777777778,0.9014675052410901,0.9027777777777778,1.0,1.0,0.9481808158765159,0.9489051094890512,0.5,0.5,0.0,1.0,0.0,1.0
Neural Network,0.9014675052410901,0.9027777777777778,0.9014675052410901,0.9027777777777778,1.0,1.0,0.9481808158765159,0.9489051094890512,0.5,0.5,0.0,1.0,0.0,1.0
Dummy Classifier,0.9014675052410901,0.9027777777777778,0.9014675052410901,0.9027777777777778,1.0,1.0,0.9481808158765159,0.9489051094890512,0.5,0.5,0.0,1.0,0.0,1.0
Decision Tree,1.0,0.8472222222222222,1.0,0.8970588235294118,1.0,0.9384615384615385,1.0,0.9172932330827067,1.0,0.46923076923076923,1.0,1.0,0.0,0.9384615384615385
