,Importance
fb_topic_10,1.0
fb_entity_WORK_OF_ART,0.9727272727272727
fb_entity_PERSON,0.9636363636363643
fb_post_sponsored,0.9636363636363643
fb_page_age,0.9636363636363643
fb_type_link,0.9636363636363643
fb_type_photo,0.9636363636363643
fb_type_video,0.9636363636363643
fb_entity_MONEY,0.9636363636363643
fb_entity_PRODUCT,0.9636363636363643
fb_entity_ORG,0.9636363636363643
duration_1-2 months,0.9636363636363643
duration_2 weeks - 1 month,0.9636363636363643
duration_1-2 weeks,0.9636363636363643
duration_<1 week,0.9636363636363643
fb_entity_TIME,0.9636363636363643
fb_entity_NORP,0.9636363636363643
Person,0.9636363636363643
fb_entity_ORDINAL,0.945454545454546
fb_topic_9,0.9272727272727272
fb_entity_GPE,0.9272727272727269
fb_entity_CARDINAL,0.9090909090909094
fb_post_age,0.909090909090909
fb_entropy_scores,0.881818181818182
fb_positive,0.881818181818182
fb_likes_at_posting,0.790909090909091
fb_readability_lix,0.7909090909090908
fb_followers_at_posting,0.7818181818181819
fb_topic_3,0.7818181818181815
fb_readability,0.7545454545454547
fb_topic_5,0.7272727272727274
fb_perplexity_scores,0.7181818181818181
fb_entity_DATE,0.6818181818181817
fb_topic_7,0.6727272727272726
start_day,0.6636363636363635
fb_negative,0.6454545454545454
fb_topic_4,0.609090909090909
fb_topic_6,0.5909090909090907
fb_topic_0,0.5727272727272728
fb_topic_2,0.5727272727272726
fb_sadness,0.5727272727272726
fb_topic_8,0.5636363636363637
fb_surprise,0.5272727272727274
fb_topic_1,0.4636363636363636
fb_trust,0.39999999999999986
fb_disgust,0.3636363636363637
fb_fear,0.35454545454545444
start_month,0.30000000000000027
fb_anticip,0.290909090909091
goal_amount,0.2727272727272727
fb_joy,0.26363636363636367
num_backed,0.2363636363636367
fb_emotionality,0.19999999999999982
fb_post_views,0.1636363636363638
num_projects,0.15454545454545468
fb_anger,0.0
