,Importance
fb_joy,0.039036144578313225
fb_surprise,0.03518072289156623
num_backed,0.03373493975903612
fb_readability_lix,0.029879518072289137
start_month,0.028433734939759012
fb_fear,0.027951807228915642
fb_perplexity_scores,0.027951807228915625
fb_entropy_scores,0.027469879518072275
fb_disgust,0.026506024096385517
fb_entity_ORG,0.026506024096385503
fb_topic_2,0.025542168674698766
fb_topic_4,0.025542168674698752
fb_topic_3,0.022168674698795143
start_day,0.02120481927710839
fb_topic_1,0.019277108433734903
num_projects,0.014939759036144543
fb_positive,0.014939759036144537
fb_post_views,0.0139759036144578
fb_followers_at_posting,0.011566265060240917
goal_amount,0.011566265060240912
fb_topic_7,0.01108433734939755
fb_topic_8,0.010602409638554171
fb_topic_10,0.010602409638554166
fb_anger,0.00963855421686744
fb_entity_CARDINAL,0.008674698795180671
fb_entity_DATE,0.008674698795180671
fb_sadness,0.007710843373493938
fb_topic_6,0.007710843373493934
fb_topic_9,0.007228915662650568
duration_1-2 months,0.007228915662650568
Person,0.006746987951807198
fb_topic_5,0.006746987951807193
duration_2 weeks - 1 month,0.006746987951807188
fb_readability,0.005783132530120452
fb_entity_NORP,0.0043373493975903355
pledge_types,0.004337349397590327
fb_anticip,0.0038554216867469427
fb_entity_PRODUCT,0.003373493975903594
fb_likes_at_posting,0.001445783132530094
fb_post_age,0.0009638554216867412
fb_entity_ORDINAL,0.0009638554216867234
fb_entity_PERSON,0.000481927710843344
duration_1-2 weeks,0.0
fb_entity_TIME,0.0
fb_entity_MONEY,0.0
fb_entity_WORK_OF_ART,0.0
duration_<1 week,0.0
fb_post_sponsored,0.0
fb_page_age,0.0
fb_type_video,0.0
fb_type_photo,0.0
fb_type_link,0.0
fb_negative,-0.0009638554216867768
fb_topic_0,-0.001927710843373518
fb_entity_GPE,-0.0033734939759036252
fb_trust,-0.010602409638554251
