,Importance
goal_amount,0.6702246705427322
duration_1-2 months,0.4173111313785802
duration_2 weeks - 1 month,0.30986300202968925
Person,0.18340958435183907
start_month,0.040732909287596805
num_projects,0.02457829634579383
fb_positive_reactions,0.015692841246438792
num_backed,0.009386605157384396
fb_comments,0.004038830002968168
fb_likes,0.0034316469413641793
fb_negative_reactions,0.0018156919267108495
start_day,0.00022717906552194745
duration_<1 week,-1.1102230246251565e-15
duration_1-2 weeks,-1.1102230246251565e-15
fb_shares,-0.0012529405735558097
pledge_types,-0.017353247800461276
