,Importance
num_backed,1.0
num_projects,0.46356589534521503
goal_amount,0.05157079769995839
start_month,0.05157079769995839
start_day,0.05157079769995839
Person,0.05157079769995839
duration_<1 week,0.05157079769995839
duration_1-2 weeks,0.05157079769995839
duration_2 weeks - 1 month,0.05157079769995839
duration_1-2 months,0.05157079769995839
fb_shares,0.05157079769995839
fb_positive_reactions,0.05157079769995839
fb_negative_reactions,0.05157079769995839
fb_comments,0.05052554668973178
pledge_types,0.03414616229669207
fb_likes,0.0
