,Insample RMSE,Insample MAE,Insample R2,Insample EV Score,Outsample RMSE,Outsample MAE,Outsample R2,Outsample EV Score
RandomForestRegressor,0.772,0.53,0.849,0.849,1.732,1.258,0.135,0.139
ExtraTreesRegressor,0.0,0.0,1.0,1.0,1.774,1.318,0.092,0.099
Lasso,1.92,1.301,0.065,0.065,1.776,1.267,0.09,0.094
LassoLars,1.92,1.301,0.065,0.065,1.776,1.267,0.09,0.094
ElasticNet,1.907,1.285,0.078,0.078,1.78,1.257,0.086,0.089
BayesianRidge,1.899,1.275,0.085,0.085,1.787,1.26,0.079,0.083
OrthogonalMatchingPursuitCV,1.936,1.317,0.049,0.049,1.788,1.282,0.078,0.082
OrthogonalMatchingPursuit,1.936,1.317,0.049,0.049,1.788,1.282,0.078,0.082
GradientBoostingRegressor,1.274,0.831,0.588,0.588,1.79,1.224,0.076,0.076
ElasticNetCV,1.883,1.255,0.101,0.101,1.792,1.264,0.074,0.076
LassoCV,1.882,1.255,0.101,0.101,1.792,1.264,0.073,0.076
LassoLarsCV,1.882,1.254,0.102,0.102,1.793,1.265,0.073,0.075
LarsCV,1.882,1.254,0.102,0.102,1.793,1.265,0.073,0.075
LassoLarsIC,1.881,1.253,0.102,0.102,1.795,1.267,0.07,0.073
TweedieRegressor,1.879,1.252,0.104,0.104,1.804,1.27,0.061,0.064
KernelRidge,1.881,1.247,0.103,0.103,1.826,1.26,0.038,0.043
HistGradientBoostingRegressor,0.904,0.627,0.793,0.793,1.827,1.316,0.037,0.037
PoissonRegressor,1.894,1.265,0.09,0.09,1.828,1.272,0.037,0.041
RidgeCV,1.874,1.245,0.109,0.109,1.831,1.286,0.033,0.037
ARDRegression,1.915,1.293,0.07,0.07,1.834,1.31,0.03,0.032
Ridge,1.873,1.243,0.11,0.11,1.834,1.288,0.03,0.034
Lars,1.873,1.242,0.11,0.11,1.835,1.289,0.029,0.033
LinearRegression,1.873,1.242,0.11,0.11,1.835,1.289,0.029,0.033
GammaRegressor,1.935,1.269,0.05,0.05,1.838,1.27,0.026,0.029
BaggingRegressor,0.867,0.553,0.809,0.81,1.84,1.366,0.024,0.024
XGBRegressor,0.029,0.017,1.0,1.0,1.844,1.249,0.019,0.019
NuSVR,1.956,1.125,0.03,0.075,1.847,1.161,0.016,0.089
DummyRegressor,1.985,1.367,0.0,0.0,1.866,1.338,-0.004,-0.0
KNeighborsRegressor,1.708,1.13,0.26,0.261,1.875,1.351,-0.014,-0.005
HuberRegressor,1.984,1.079,0.002,0.087,1.922,1.165,-0.065,0.077
SVR,2.024,1.055,-0.039,0.079,1.928,1.124,-0.073,0.096
LinearSVR,2.491,1.463,-0.574,-0.556,2.064,1.427,-0.229,-0.215
RANSACRegressor,2.229,1.297,-0.26,-0.154,2.072,1.309,-0.238,-0.056
TheilSenRegressor,2.03,1.31,-0.046,-0.044,2.126,1.385,-0.304,-0.304
MLPRegressor,1.644,1.081,0.314,0.314,2.166,1.337,-0.353,-0.35
AdaBoostRegressor,2.028,1.818,-0.044,0.314,2.196,1.901,-0.391,-0.021
DecisionTreeRegressor,0.0,0.0,1.0,1.0,2.447,1.597,-0.727,-0.722
GaussianProcessRegressor,0.0,0.0,1.0,1.0,2.891,2.212,-1.41,0.0
PassiveAggressiveRegressor,10.45,7.789,-26.703,-11.671,10.149,7.781,-28.707,-11.653
SGDRegressor,7366185214273.9,4683239295388.29,-1.3764502889376147e+25,-8.200748363953252e+24,7021241602798.527,4808050488347.277,-1.4218588870055288e+25,-7.551032428278206e+24
