,Importance
goal_amount,1.0
fb_likes,0.08067403485457517
fb_shares,0.07417614010234151
num_projects,0.06610965796150749
start_day,0.05823875938482565
start_month,0.05138673857094615
num_backed,0.04397100546707094
fb_comments,0.02900256776426002
duration_2 weeks - 1 month,0.00421454626241601
fb_positive_reactions,0.0012842978265614137
Person,0.0008680286242061472
fb_negative_reactions,0.00037019133161567195
duration_<1 week,0.00029350940615353687
duration_1-2 weeks,0.00029350940615353687
duration_1-2 months,0.0
