,Insample RMSE,Insample MAE,Insample R2,Insample EV Score,Outsample RMSE,Outsample MAE,Outsample R2,Outsample EV Score
HistGradientBoostingRegressor,1378.422,407.524,0.579,0.579,2342.294,892.457,0.468,0.479
RandomForestRegressor,655.778,265.064,0.905,0.905,2463.053,926.367,0.412,0.412
GradientBoostingRegressor,608.588,354.346,0.918,0.918,2595.596,916.067,0.347,0.349
ExtraTreesRegressor,0.0,0.0,1.0,1.0,2631.128,934.978,0.329,0.33
PoissonRegressor,1894.158,793.913,0.205,0.206,2674.177,1067.603,0.306,0.321
Lars,1904.874,904.566,0.196,0.196,2681.04,1099.324,0.303,0.319
BaggingRegressor,767.005,300.034,0.87,0.87,2700.874,1006.699,0.292,0.294
LinearRegression,1901.557,857.852,0.199,0.199,2717.789,1071.916,0.284,0.3
Ridge,1901.564,857.106,0.199,0.199,2718.484,1071.682,0.283,0.3
LassoLars,1901.6,857.348,0.199,0.199,2718.604,1072.704,0.283,0.3
Lasso,1901.6,857.348,0.199,0.199,2718.604,1072.703,0.283,0.3
RidgeCV,1901.746,850.509,0.199,0.199,2724.253,1068.271,0.28,0.297
ARDRegression,1907.4,848.75,0.194,0.194,2747.009,1082.363,0.268,0.284
LarsCV,1911.028,839.907,0.191,0.191,2750.187,1053.269,0.266,0.282
LassoLarsCV,1909.945,826.921,0.192,0.192,2753.615,1045.572,0.265,0.28
LassoCV,1909.988,826.837,0.192,0.192,2753.725,1045.533,0.265,0.28
LassoLarsIC,1910.85,825.68,0.191,0.191,2755.913,1045.568,0.263,0.279
OrthogonalMatchingPursuitCV,1915.332,853.904,0.187,0.187,2761.19,1064.771,0.261,0.278
XGBRegressor,14.856,9.36,1.0,1.0,2769.006,890.031,0.256,0.274
ElasticNet,1922.928,756.961,0.181,0.181,2834.02,1039.617,0.221,0.238
KernelRidge,1933.296,779.367,0.172,0.172,2838.96,1064.172,0.218,0.234
TweedieRegressor,1948.494,733.86,0.159,0.159,2905.591,1046.314,0.181,0.198
AdaBoostRegressor,1150.375,1037.724,0.707,0.841,2907.559,1390.078,0.18,0.233
GammaRegressor,1935.169,639.938,0.17,0.176,2917.957,959.758,0.174,0.204
TheilSenRegressor,1993.276,711.894,0.12,0.121,2979.618,1051.96,0.139,0.164
ElasticNetCV,2048.588,783.392,0.07,0.07,3110.534,1163.861,0.062,0.08
DecisionTreeRegressor,0.0,0.0,1.0,1.0,3174.689,1121.072,0.022,0.023
OrthogonalMatchingPursuit,2120.199,851.478,0.004,0.004,3242.961,1266.227,-0.02,0.0
BayesianRidge,2124.245,861.618,0.0,0.0,3243.863,1280.043,-0.021,0.0
DummyRegressor,2124.264,861.647,0.0,0.0,3243.873,1280.085,-0.021,0.0
RANSACRegressor,2120.229,719.404,0.004,0.047,3244.135,1159.092,-0.021,0.055
MLPRegressor,2121.326,751.105,0.003,0.009,3246.781,1153.048,-0.022,0.014
HuberRegressor,2113.637,646.989,0.01,0.049,3249.311,1099.029,-0.024,0.05
LinearSVR,2154.111,655.234,-0.028,0.023,3311.15,1115.741,-0.063,0.021
NuSVR,2156.299,705.007,-0.03,0.001,3317.056,1159.659,-0.067,0.0
KNeighborsRegressor,1770.092,700.092,0.306,0.307,3320.085,1224.07,-0.069,-0.055
SVR,2184.93,685.628,-0.058,0.001,3354.844,1149.091,-0.092,0.001
PassiveAggressiveRegressor,2420.338,1017.628,-0.298,-0.235,3414.111,1416.029,-0.131,-0.04
GaussianProcessRegressor,0.0,0.0,1.0,1.0,3472.828,1322.715,-0.17,-0.0
SGDRegressor,7591757460591.771,4724466788154.3,-1.2772258805745416e+19,-7.825865326324128e+18,7189186928732.644,4854399817710.244,-5.01287907442331e+18,-2.7272867872266936e+18
