,Accuracy,Precision,Recall,F1 Score,ROC AUC,Class-0 Acc,Class-1 Acc
Gaussian Naive Bayes,0.30120481927710846,1.0,0.22666666666666666,0.3695652173913044,0.6133333333333333,1.0,0.22666666666666666
Easy Ensemble Classifier,0.5542168674698795,0.9318181818181818,0.5466666666666666,0.6890756302521007,0.5858333333333333,0.625,0.5466666666666666
Multinomial Naive Bayes,0.5542168674698795,0.9318181818181818,0.5466666666666666,0.6890756302521007,0.5858333333333333,0.625,0.5466666666666666
Balanced Random Forest Classifier,0.6987951807228916,0.9310344827586207,0.72,0.8120300751879699,0.61,0.5,0.72
Balanced Bagging Classifier,0.6506024096385542,0.9107142857142857,0.68,0.7786259541984734,0.5275000000000001,0.375,0.68
RUSBoost Classifier,0.6144578313253012,0.8909090909090909,0.6533333333333333,0.7538461538461538,0.45166666666666666,0.25,0.6533333333333333
Gaussian Process,0.7951807228915663,0.9027777777777778,0.8666666666666667,0.8843537414965987,0.49583333333333335,0.125,0.8666666666666667
XGBoost,0.8674698795180723,0.9,0.96,0.9290322580645162,0.48,0.0,0.96
Dummy Classifier,0.9036144578313253,0.9036144578313253,1.0,0.9493670886075949,0.5,0.0,1.0
Neural Network,0.9036144578313253,0.9036144578313253,1.0,0.9493670886075949,0.5,0.0,1.0
