,Importance
pledge_types,1.0
num_backed,0.8369565217391303
start_month,0.6847826086956522
fb_positive_reactions,0.6847826086956522
fb_comments,0.6413043478260869
duration_1-2 months,0.6195652173913038
goal_amount,0.5978260869565216
fb_negative_reactions,0.510869565217391
fb_likes,0.48913043478260865
duration_<1 week,0.42391304347826164
duration_1-2 weeks,0.42391304347826164
duration_2 weeks - 1 month,0.42391304347826164
start_day,0.35869565217391314
num_projects,0.206521739130435
Person,0.03260869565217368
fb_shares,0.0
