,Importance
fb_likes,0.02746987951807228
num_backed,0.02120481927710844
goal_amount,0.018313253012048197
start_day,0.018313253012048197
fb_negative_reactions,0.01783132530120482
fb_comments,0.012048192771084341
fb_positive_reactions,0.009156626506024113
pledge_types,0.002409638554216862
duration_<1 week,0.0
duration_1-2 weeks,0.0
Person,-0.0019277108433735047
fb_shares,-0.003373493975903612
duration_2 weeks - 1 month,-0.00481927710843375
duration_1-2 months,-0.0057831325301205
start_month,-0.021204819277108437
num_projects,-0.026987951807228922
