,Insample RMSE,Insample MAE,Insample R2,Insample EV Score,Outsample RMSE,Outsample MAE,Outsample R2,Outsample EV Score
GradientBoostingRegressor,1.402,0.918,0.501,0.501,1.706,1.177,0.16,0.162
HistGradientBoostingRegressor,1.168,0.799,0.654,0.654,1.76,1.254,0.107,0.107
ElasticNet,1.917,1.297,0.067,0.067,1.764,1.252,0.103,0.106
BayesianRidge,1.909,1.286,0.076,0.076,1.767,1.253,0.1,0.102
ElasticNetCV,1.911,1.287,0.074,0.074,1.768,1.252,0.099,0.101
LassoCV,1.91,1.287,0.074,0.074,1.768,1.252,0.098,0.101
LassoLarsCV,1.91,1.286,0.074,0.074,1.768,1.252,0.098,0.1
LarsCV,1.91,1.286,0.074,0.074,1.768,1.252,0.098,0.1
LassoLarsIC,1.904,1.279,0.081,0.081,1.771,1.26,0.096,0.098
MLPRegressor,1.79,1.166,0.187,0.188,1.771,1.236,0.096,0.099
