,Insample RMSE,Insample MAE,Insample R2,Insample EV Score,Outsample RMSE,Outsample MAE,Outsample R2,Outsample EV Score
HistGradientBoostingRegressor,1482.284,485.548,0.513,0.513,2029.482,875.853,0.601,0.605
PoissonRegressor,1181.957,600.639,0.69,0.691,2207.597,908.915,0.527,0.528
GradientBoostingRegressor,616.176,366.671,0.916,0.916,2455.73,934.164,0.415,0.418
ExtraTreesRegressor,54.309,4.182,0.999,0.999,2501.42,926.923,0.393,0.394
RandomForestRegressor,668.95,268.11,0.901,0.901,2559.855,935.13,0.364,0.365
XGBRegressor,98.653,46.06,0.998,0.998,2655.84,1047.483,0.316,0.323
LinearRegression,1904.357,862.601,0.196,0.196,2725.261,1075.159,0.28,0.295
Lars,1904.357,862.601,0.196,0.196,2725.261,1075.159,0.28,0.295
Ridge,1904.362,861.736,0.196,0.196,2725.942,1074.902,0.279,0.295
LassoLars,1904.394,861.938,0.196,0.196,2726.089,1075.968,0.279,0.295
