Gaussian Naive Bayes,0.301205,1.000000,0.226667,0.369565,0.613333,1.000,0.226667
Easy Ensemble Classifier,0.626506,0.958333,0.613333,0.747967,0.681667,0.750,0.613333
Multinomial Naive Bayes,0.554217,0.931818,0.546667,0.689076,0.585833,0.625,0.546667
Balanced Random Forest Classifier,0.698795,0.931034,0.720000,0.812030,0.610000,0.500,0.720000
RUSBoost Classifier,0.746988,0.897059,0.813333,0.853147,0.469167,0.125,0.813333
Balanced Bagging Classifier,0.674699,0.887097,0.733333,0.802920,0.429167,0.125,0.733333
Gaussian Process,0.807229,0.904110,0.880000,0.891892,0.502500,0.125,0.880000
Decision Tree,0.891566,0.912500,0.973333,0.941935,0.549167,0.125,0.973333
XGBoost,0.891566,0.902439,0.986667,0.942675,0.493333,0.000,0.986667
Dummy Classifier,0.903614,0.903614,1.000000,0.949367,0.500000,0.000,1.000000
