,Importance
post_views,0.023544444938716304
page_age,0.011970004078559833
likes_at_posting,0.0019853751831892088
post_age,0.0019432170788225777
type_video,0.001498185839268147
followers_at_posting,0.0004485299586168978
entity_PERSON,0.0003817236971162674
entropy_scores,0.0003213355467793799
page_name_GoFundMe,0.00030897453367090266
readability_lix,0.00028661035274790583
negative,0.00021659236534701253
topic_11,0.00018732095977834538
topic_5,0.00015065316950055974
sadness,0.0001434024092066488
entity_ORG,0.00014075810593787376
readability,0.0001332558464709088
fear,0.00010106784061851726
entity_DATE,9.415206776640873e-05
topic_9,8.770807392142311e-05
positive,8.712171827467641e-05
topic_1,8.128665806186098e-05
topic_7,8.058269004313612e-05
topic_6,7.337577313822896e-05
entity_TIME,7.22842093422793e-05
entity_MONEY,6.989223259360799e-05
topic_2,6.592633280126492e-05
topic_10,5.946735053610208e-05
disgust,4.295351450672058e-05
anticip,3.2693116002051606e-05
topic_0,2.6539190951204716e-05
topic_8,2.4785462625067646e-05
anger,2.3877155796174778e-05
page_name_Kickstarter,1.853564155135823e-05
type_photo,1.7630392174421415e-05
entity_CARDINAL,6.144042296117869e-06
joy,5.61037592840985e-06
entity_WORK_OF_ART,3.0124694060695843e-06
entity_ORDINAL,2.4015428194568144e-06
entity_NORP,1.2379934011386152e-06
topic_4,1.2298473363514529e-06
page_name_Indiegogo,0.0
perplexity_scores,0.0
post_sponsored,-1.1241627133729004e-07
entity_PRODUCT,-1.8083182475536753e-06
surprise,-9.285570572068469e-06
topic_3,-1.700483447093837e-05
entity_GPE,-1.7006928553591205e-05
trust,-3.915607030475443e-05
